STATION,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN
USC00441593,2020-06-21,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,66.0
USC00441593,2020-06-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.9,68.0
USC00441593,2020-06-23,"CHARLOTTESVILLE 2 W, VA US",3.0,0.0,0.0,88.0,68.0
USC00441593,2020-06-24,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,87.1,66.9
USC00441593,2020-06-25,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.0,64.0
USC00441593,2020-06-26,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.9,64.9
USC00441593,2020-06-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,88.0,68.0
USC00441593,2020-06-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,71.1
USC00441593,2020-06-29,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,88.0,71.1
USC00441593,2020-06-30,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,70.0
USC00441593,2020-07-01,"CHARLOTTESVILLE 2 W, VA US",38.0,0.0,0.0,90.0,66.9
USC00441593,2020-07-02,"CHARLOTTESVILLE 2 W, VA US",246.0,0.0,0.0,89.1,66.0
USC00441593,2020-07-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,86.0,68.0
USC00441593,2020-07-04,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.9,73.9
USC00441593,2020-07-05,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.0,71.1
USC00441593,2020-07-06,"CHARLOTTESVILLE 2 W, VA US",81.0,0.0,0.0,91.0,70.0
USC00441593,2020-07-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.9,71.1
USC00441593,2020-07-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.0,70.0
USC00441593,2020-07-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,68.0
USC00441593,2020-07-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,88.0,70.0
USC00441593,2020-07-11,"CHARLOTTESVILLE 2 W, VA US",38.0,0.0,0.0,91.9,68.0
USC00441593,2020-07-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,69.1
USC00441593,2020-07-13,"CHARLOTTESVILLE 2 W, VA US",97.0,0.0,0.0,90.0,66.0
USC00441593,2020-07-14,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,88.0,68.0
USC00441593,2020-07-15,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,68.0
USC00441593,2020-07-16,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,70.0
USC00441593,2020-07-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,87.1,71.1
USC00441593,2020-07-18,"CHARLOTTESVILLE 2 W, VA US",76.0,0.0,0.0,93.9,73.0
USC00441593,2020-07-19,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,93.0,73.9
USC00441593,2020-07-20,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,97.0,77.0
USC00441593,2020-07-21,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,98.1,73.9
USC00441593,2020-07-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,98.1,71.1
USC00441593,2020-07-23,"CHARLOTTESVILLE 2 W, VA US",229.0,0.0,0.0,95.0,69.1
USC00441593,2020-07-24,"CHARLOTTESVILLE 2 W, VA US",71.0,0.0,0.0,91.9,70.0
USC00441593,2020-07-25,"CHARLOTTESVILLE 2 W, VA US",406.0,0.0,0.0,89.1,68.0
USC00441593,2020-07-26,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,71.1
USC00441593,2020-07-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,93.0,73.0
USC00441593,2020-07-28,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,93.9,75.9
USC00441593,2020-07-29,"CHARLOTTESVILLE 2 W, VA US",33.0,0.0,0.0,95.0,70.0
USC00441593,2020-07-30,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.0,71.1
USC00441593,2020-07-31,"CHARLOTTESVILLE 2 W, VA US",97.0,0.0,0.0,91.0,71.1
USC00441593,2020-08-01,"CHARLOTTESVILLE 2 W, VA US",76.0,0.0,0.0,81.0,69.1
USC00441593,2020-08-02,"CHARLOTTESVILLE 2 W, VA US",102.0,0.0,0.0,86.0,71.1
USC00441593,2020-08-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,72.0
USC00441593,2020-08-04,"CHARLOTTESVILLE 2 W, VA US",597.0,0.0,0.0,82.0,66.9
USC00441593,2020-08-05,"CHARLOTTESVILLE 2 W, VA US",38.0,0.0,0.0,87.1,66.9
USC00441593,2020-08-06,"CHARLOTTESVILLE 2 W, VA US",46.0,0.0,0.0,87.1,66.9
USC00441593,2020-08-07,"CHARLOTTESVILLE 2 W, VA US",165.0,0.0,0.0,84.9,66.0
USC00441593,2020-08-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,66.9
USC00441593,2020-08-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.9,69.1
USC00441593,2020-08-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,88.0,71.1
USC00441593,2020-08-11,"CHARLOTTESVILLE 2 W, VA US",66.0,0.0,0.0,91.0,70.0
USC00441593,2020-08-12,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,90.0,70.0
USC00441593,2020-08-13,"CHARLOTTESVILLE 2 W, VA US",18.0,0.0,0.0,90.0,70.0
USC00441593,2020-08-14,"CHARLOTTESVILLE 2 W, VA US",28.0,0.0,0.0,82.0,71.1
USC00441593,2020-08-15,"CHARLOTTESVILLE 2 W, VA US",300.0,0.0,0.0,82.9,62.1
USC00441593,2020-08-16,"CHARLOTTESVILLE 2 W, VA US",104.0,0.0,0.0,69.1,61.0
USC00441593,2020-08-17,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,75.0,63.0
USC00441593,2020-08-18,"CHARLOTTESVILLE 2 W, VA US",15.0,0.0,0.0,82.9,64.9
USC00441593,2020-08-19,"CHARLOTTESVILLE 2 W, VA US",203.0,0.0,0.0,86.0,64.0
USC00441593,2020-08-20,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,80.1,60.1
USC00441593,2020-08-21,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,61.0
USC00441593,2020-08-22,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,68.0
USC00441593,2020-08-23,"CHARLOTTESVILLE 2 W, VA US",15.0,0.0,0.0,84.0,66.0
USC00441593,2020-08-24,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,66.0
USC00441593,2020-08-25,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,70.0
USC00441593,2020-08-26,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,90.0,69.1
USC00441593,2020-08-27,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,87.1,70.0
USC00441593,2020-08-28,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,91.0,73.0
USC00441593,2020-08-29,"CHARLOTTESVILLE 2 W, VA US",61.0,0.0,0.0,91.9,71.1
USC00441593,2020-08-30,"CHARLOTTESVILLE 2 W, VA US",38.0,0.0,0.0,88.0,66.0
USC00441593,2020-08-31,"CHARLOTTESVILLE 2 W, VA US",10.0,0.0,0.0,84.0,64.0
USC00441593,2020-09-01,"CHARLOTTESVILLE 2 W, VA US",1016.0,0.0,0.0,64.9,63.0
USC00441593,2020-09-02,"CHARLOTTESVILLE 2 W, VA US",25.0,0.0,0.0,71.1,64.0
USC00441593,2020-09-03,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,87.1,71.1
USC00441593,2020-09-04,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.0,69.1
USC00441593,2020-09-05,"CHARLOTTESVILLE 2 W, VA US",25.0,0.0,0.0,90.0,60.1
USC00441593,2020-09-06,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,80.1,59.0
USC00441593,2020-09-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,59.0
